# Yale Bright Star Catalogue (BSC5), Hoffleit & Warren 1991, ADC/CDS V/50.
# Trimmed for the Simathon 02 demo. Source: tdc-www.harvard.edu/catalogs/bsc5.dat.gz
# ra_deg,dec_deg,vmag,b_v,dist_pc   (dist_pc = 0 means no usable parallax)
17.09250,5.64972,5.520,0.340,27.8
16.94958,-41.48694,5.210,0.160,71.4
16.82792,-61.77528,5.370,0.880,30.3
18.06958,79.67389,5.640,0.010,0.0
17.14750,-10.18222,3.450,1.160,24.4
17.37583,47.24194,4.250,-0.070,333.3
17.66375,68.77861,5.290,-0.020,58.8
17.43292,35.62056,2.060,1.580,20.4
17.09625,-55.24583,3.920,-0.080,76.9
17.45500,19.65861,5.550,0.690,0.0
17.57833,42.08139,5.650,0.600,0.0
17.58083,25.45778,5.800,1.470,0.0
17.85667,64.20278,5.550,-0.070,0.0
17.77583,55.14972,4.330,0.170,71.4
17.54792,15.67417,6.060,1.490,0.0
17.92250,65.01889,5.570,-0.090,0.0
17.55000,-8.90611,6.400,1.040,0.0
17.64000,2.44556,5.950,1.510,0.0
17.79292,37.72417,5.810,-0.100,333.3
17.77833,31.42472,5.160,0.230,0.0
17.53083,-57.69444,6.410,0.890,0.0
17.86333,21.03472,4.660,1.030,66.7
17.91500,30.08972,4.510,1.090,43.5
17.93125,-2.25111,5.940,1.400,0.0
18.29125,61.70583,6.410,0.010,0.0
18.14167,45.33778,6.110,1.640,0.0
18.24792,30.06417,6.190,1.000,0.0
19.12792,79.91000,6.260,0.420,0.0
18.09750,-30.80222,6.520,0.480,0.0
18.18917,-37.85639,5.920,0.280,0.0
18.43708,24.58361,4.650,1.040,142.9
18.43292,7.57528,5.240,0.320,38.5
18.43875,7.57833,6.300,0.490,38.5
18.52083,28.52972,6.430,1.700,0.0
18.53167,16.13361,5.980,-0.080,0.0
19.05042,71.74389,7.830,0.780,0.0
18.60000,-7.92306,5.130,0.460,17.9
18.67667,6.99528,6.030,1.080,0.0
18.70500,-0.97389,5.700,0.420,35.7
19.10208,48.08222,6.610,-0.050,0.0
18.79625,-45.53139,4.960,0.580,14.5
19.07833,33.11472,6.020,1.150,0.0
19.27125,44.90194,6.340,0.000,0.0
19.15125,-2.50028,5.410,0.900,66.7
19.35042,31.74472,6.730,0.000,0.0
20.08125,77.57056,6.310,0.920,0.0
19.54250,47.41972,6.250,1.350,0.0
18.94208,-68.87611,4.860,0.470,16.4
19.45000,3.61444,5.160,0.070,76.9
19.69583,37.38611,6.460,0.230,125.0
19.26500,-66.39806,6.240,0.050,100.0
20.49625,76.23889,6.380,0.280,0.0
20.02042,58.23167,4.980,0.680,0.0
19.86667,27.26417,4.760,0.030,52.6
20.27167,64.65833,6.340,0.090,0.0
19.95125,-0.50889,5.870,0.640,111.1
20.94500,78.72583,6.070,0.390,0.0
20.14375,-3.24694,6.230,1.020,0.0
20.11583,-11.23889,6.150,1.110,0.0
20.28083,28.73806,5.230,1.390,0.0
20.58500,45.52889,4.880,1.080,38.5
20.84000,58.14306,6.450,0.000,200.0
20.65417,1.72639,6.200,1.520,0.0
20.64500,-0.44972,6.490,1.080,0.0
20.62708,-19.08139,6.350,0.480,125.0
20.91917,37.71500,5.580,0.260,0.0
20.90625,34.24583,6.290,0.830,0.0
20.85375,20.46889,5.970,1.710,0.0
21.44375,70.98000,6.490,0.000,0.0
21.48333,68.13000,4.740,1.050,76.9
20.87917,-30.94556,5.840,1.610,0.0
21.01042,-8.00750,6.210,0.230,0.0
21.00583,-8.18333,3.600,1.060,24.4
21.45417,60.23528,2.680,0.130,27.0
21.08583,-6.91472,5.910,0.410,43.5
21.16583,-15.66028,6.140,0.910,0.0
21.20292,-2.84861,6.150,0.960,0.0
